Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Close time,Agent interactions,Survey results,Product group,Support Level,Country
Resolved,818,High,Phone,Hardware Failure,Development,Abdullah Al-Farsi,08-05-2024 0.18,08-05-2024 2.18,08-05-2024 0.48,08-05-2024 0.41,Met,08-05-2024 2.18,Met,08-05-2024 2.18,3,Neutral,Software,L1,Kuwait
Open,819,Medium,Phone,Software Bug,Network Ops,Yousef Al-Khalifa,11-05-2024 1.06,11-05-2024 4.06,11-05-2024 1.51,11-05-2024 1.45,Met,11-05-2024 3.57,Met,11-05-2024 4.01,2,Neutral,Software,L3,Kuwait
Open,820,Medium,Email,Network Issue,Customer Service,Khalid Al-Farsi,23-06-2024 6.14,23-06-2024 9.14,23-06-2024 6.59,23-06-2024 6.56,Met,23-06-2024 9.08,Met,23-06-2024 9.10,4,Neutral,Cloud,L2,Kuwait
In Progress,821,High,Phone,Access Request,IT Support,Yousef Al-Sabah,15-07-2024 10.03,15-07-2024 12.03,15-07-2024 10.33,15-07-2024 10.33,Met,15-07-2024 12.00,Met,15-07-2024 12.01,4,Dissatisfied,Network,L1,Oman
Open,822,Critical,Portal,General Inquiry,Network Ops,Fahad Al-Farsi,13-04-2024 9.01,13-04-2024 10.01,13-04-2024 9.11,13-04-2024 9.03,Met,13-04-2024 9.49,Met,13-04-2024 9.49,5,Dissatisfied,Cloud,L2,Oman
Resolved,823,High,Chat,Software Bug,Network Ops,Mohammed Al-Rashid,11-04-2024 5.29,11-04-2024 7.29,11-04-2024 5.59,11-04-2024 5.56,Met,11-04-2024 7.10,Met,11-04-2024 7.12,1,Neutral,Hardware,L2,Bahrain
In Progress,824,Critical,Phone,General Inquiry,Customer Service,Fahad Al-Farsi,05-07-2024 5.20,05-07-2024 6.20,05-07-2024 5.30,05-07-2024 5.20,Met,05-07-2024 6.18,Met,05-07-2024 6.22,5,Satisfied,Network,L3,UAE
Open,825,Medium,Phone,Software Bug,IT Support,Omar Al-Salem,01-05-2024 20.28,01-05-2024 23.28,01-05-2024 21.13,01-05-2024 21.13,Met,01-05-2024 23.25,Met,01-05-2024 23.28,3,Neutral,Network,L1,Bahrain
Resolved,826,Low,Email,Network Issue,Network Ops,Ahmed Al-Salem,02-07-2024 8.12,02-07-2024 12.12,02-07-2024 9.12,02-07-2024 9.08,Met,02-07-2024 11.53,Met,02-07-2024 11.53,5,Satisfied,Network,L1,Saudi Arabia
In Progress,827,Medium,Chat,Hardware Failure,IT Support,Ahmed Al-Salem,21-04-2024 10.33,21-04-2024 13.33,21-04-2024 11.18,21-04-2024 11.15,Met,21-04-2024 13.24,Met,21-04-2024 13.25,4,Dissatisfied,Hardware,L1,Kuwait
Open,828,High,Email,Hardware Failure,Customer Service,Saif Al-Rashid,13-06-2024 16.10,13-06-2024 18.10,13-06-2024 16.40,13-06-2024 16.39,Met,13-06-2024 17.51,Met,13-06-2024 17.56,1,Satisfied,Cloud,L1,Oman
New,829,High,Email,Hardware Failure,Security,Fahad Al-Rashid,01-08-2024 5.09,01-08-2024 7.09,01-08-2024 5.39,01-08-2024 5.39,Met,01-08-2024 6.50,Met,01-08-2024 6.55,4,Satisfied,Network,L1,Kuwait
Resolved,830,Critical,Email,Software Bug,IT Support,Mohammed Al-Rashid,06-05-2024 6.13,06-05-2024 7.13,06-05-2024 6.23,06-05-2024 6.21,Met,06-05-2024 7.03,Met,06-05-2024 7.03,2,Dissatisfied,Software,L3,Bahrain
Resolved,831,High,Portal,Access Request,Network Ops,Saif Al-Rashid,30-06-2024 5.18,30-06-2024 7.18,30-06-2024 5.48,30-06-2024 5.44,Met,30-06-2024 7.01,Met,30-06-2024 7.06,4,Neutral,Network,L2,Kuwait
Open,832,Low,Phone,Hardware Failure,Development,Yousef Al-Khalifa,01-05-2024 23.22,02-05-2024 3.22,02-05-2024 0.22,02-05-2024 0.16,Met,02-05-2024 3.11,Met,02-05-2024 3.16,1,Neutral,Hardware,L3,UAE
Open,833,High,Portal,Network Issue,Customer Service,Yousef Al-Khalifa,25-04-2024 4.37,25-04-2024 6.37,25-04-2024 5.07,25-04-2024 5.02,Met,25-04-2024 6.37,Met,25-04-2024 6.40,2,Dissatisfied,Hardware,L2,Saudi Arabia
In Progress,834,High,Email,General Inquiry,Development,Khalid Al-Rashid,17-07-2024 13.11,17-07-2024 15.11,17-07-2024 13.41,17-07-2024 13.38,Met,17-07-2024 14.54,Met,17-07-2024 14.59,1,Neutral,Hardware,L3,Qatar
In Progress,835,Medium,Portal,Access Request,Customer Service,Hassan Al-Rashid,26-06-2024 17.45,26-06-2024 20.45,26-06-2024 18.30,26-06-2024 18.20,Met,26-06-2024 20.45,Met,26-06-2024 20.48,3,Neutral,Cloud,L1,Oman
Open,836,High,Phone,General Inquiry,Security,Ali Al-Khalifa,01-08-2024 20.30,01-08-2024 22.30,01-08-2024 21.00,01-08-2024 20.50,Met,01-08-2024 22.18,Met,01-08-2024 22.22,5,Neutral,Hardware,L2,UAE
New,837,High,Email,Access Request,Security,Fahad Al-Farsi,15-05-2024 18.20,15-05-2024 20.20,15-05-2024 18.50,15-05-2024 18.46,Met,15-05-2024 20.11,Met,15-05-2024 20.11,1,Satisfied,Software,L1,Bahrain
New,838,Low,Chat,Network Issue,IT Support,Ahmed Al-Nasser,07-06-2024 20.51,08-06-2024 0.51,07-06-2024 21.51,07-06-2024 21.44,Met,08-06-2024 0.49,Met,08-06-2024 0.50,4,Satisfied,Cloud,L1,Qatar
New,839,Medium,Chat,Software Bug,Development,Ahmed Al-Nasser,09-08-2024 6.16,09-08-2024 9.16,09-08-2024 7.01,09-08-2024 7.00,Met,09-08-2024 8.57,Met,09-08-2024 9.00,1,Neutral,Network,L3,Qatar
Closed,840,Medium,Chat,Access Request,Customer Service,Yousef Al-Khalifa,01-04-2024 2.14,01-04-2024 5.14,01-04-2024 2.59,01-04-2024 2.53,Met,01-04-2024 5.11,Met,01-04-2024 5.15,1,Neutral,Network,L2,Kuwait
Resolved,841,Medium,Phone,Hardware Failure,Security,Khalid Al-Rashid,03-06-2024 20.26,03-06-2024 23.26,03-06-2024 21.11,03-06-2024 21.03,Met,03-06-2024 23.23,Met,03-06-2024 23.24,5,Satisfied,Hardware,L1,Kuwait
New,842,Medium,Email,Access Request,IT Support,Hassan Al-Rashid,25-06-2024 7.46,25-06-2024 10.46,25-06-2024 8.31,25-06-2024 8.22,Met,25-06-2024 11.30,Not Met,25-06-2024 10.44,5,Dissatisfied,Hardware,L3,Bahrain
In Progress,843,Medium,Email,Hardware Failure,Network Ops,Fahad Al-Rashid,02-05-2024 12.51,02-05-2024 15.51,02-05-2024 13.36,02-05-2024 13.35,Met,02-05-2024 15.42,Met,02-05-2024 15.42,1,Dissatisfied,Software,L1,Saudi Arabia
Resolved,844,Low,Portal,Software Bug,Development,Khalid Al-Rashid,04-08-2024 10.17,04-08-2024 14.17,04-08-2024 11.17,04-08-2024 11.09,Met,04-08-2024 14.02,Met,04-08-2024 14.05,3,Dissatisfied,Network,L1,Qatar
Closed,845,Low,Phone,Network Issue,Customer Service,Abdullah Al-Rashid,08-06-2024 20.35,09-06-2024 0.35,08-06-2024 21.35,08-06-2024 21.30,Met,09-06-2024 0.15,Met,09-06-2024 0.16,1,Neutral,Cloud,L2,Bahrain
Open,846,Medium,Chat,Hardware Failure,Security,Saif Al-Rashid,18-05-2024 3.57,18-05-2024 6.57,18-05-2024 4.42,18-05-2024 4.38,Met,18-05-2024 6.46,Met,18-05-2024 6.48,3,Neutral,Cloud,L3,Oman
Resolved,847,Low,Phone,Hardware Failure,Network Ops,Abdullah Al-Rashid,09-05-2024 13.33,09-05-2024 17.33,09-05-2024 14.33,09-05-2024 14.28,Met,09-05-2024 17.18,Met,09-05-2024 17.19,3,Neutral,Cloud,L2,Saudi Arabia
In Progress,848,Medium,Email,Hardware Failure,Network Ops,Fahad Al-Rashid,21-07-2024 20.48,21-07-2024 23.48,21-07-2024 21.33,21-07-2024 21.23,Met,21-07-2024 23.40,Met,21-07-2024 23.42,4,Satisfied,Software,L2,Kuwait
In Progress,849,Low,Chat,Access Request,IT Support,Abdullah Al-Farsi,09-07-2024 23.25,10-07-2024 3.25,10-07-2024 0.25,10-07-2024 0.25,Met,10-07-2024 3.09,Met,10-07-2024 3.14,5,Satisfied,Software,L3,Kuwait
In Progress,850,Low,Portal,General Inquiry,Customer Service,Ali Al-Khalifa,17-04-2024 3.15,17-04-2024 7.15,17-04-2024 4.15,17-04-2024 4.08,Met,17-04-2024 6.55,Met,17-04-2024 6.57,5,Satisfied,Hardware,L2,Qatar
Closed,851,High,Email,Access Request,Security,Ahmed Al-Salem,26-05-2024 12.26,26-05-2024 14.26,26-05-2024 12.56,26-05-2024 12.55,Met,26-05-2024 14.15,Met,26-05-2024 14.16,5,Satisfied,Software,L2,Oman
Resolved,852,High,Portal,General Inquiry,IT Support,Hassan Al-Hamdan,01-05-2024 5.38,01-05-2024 7.38,01-05-2024 6.08,01-05-2024 6.06,Met,01-05-2024 7.30,Met,01-05-2024 7.30,5,Neutral,Cloud,L1,Kuwait
Resolved,853,Low,Chat,Software Bug,Development,Abdullah Al-Rashid,10-05-2024 22.06,11-05-2024 2.06,10-05-2024 23.06,10-05-2024 23.06,Met,11-05-2024 1.57,Met,11-05-2024 2.02,1,Dissatisfied,Network,L1,Oman
Resolved,854,High,Phone,Hardware Failure,Customer Service,Fahad Al-Farsi,27-05-2024 3.04,27-05-2024 5.04,27-05-2024 3.34,27-05-2024 3.24,Met,27-05-2024 4.59,Met,27-05-2024 5.04,3,Neutral,Network,L2,Qatar
Open,855,High,Portal,Software Bug,Security,Mohammed Al-Hamdan,03-07-2024 12.54,03-07-2024 14.54,03-07-2024 13.24,03-07-2024 13.15,Met,03-07-2024 14.48,Met,03-07-2024 14.50,3,Dissatisfied,Software,L3,Oman
New,856,Low,Chat,Network Issue,Network Ops,Abdullah Al-Rashid,25-04-2024 6.16,25-04-2024 10.16,25-04-2024 7.16,25-04-2024 7.08,Met,25-04-2024 10.07,Met,25-04-2024 10.09,4,Neutral,Software,L1,Kuwait
New,857,Critical,Chat,Network Issue,Security,Fahad Al-Rashid,24-07-2024 18.11,24-07-2024 19.11,24-07-2024 18.21,24-07-2024 18.17,Met,24-07-2024 18.51,Met,24-07-2024 18.51,1,Dissatisfied,Network,L1,Kuwait
Closed,858,Low,Portal,Software Bug,Network Ops,Abdullah Al-Farsi,04-07-2024 19.20,04-07-2024 23.20,04-07-2024 20.20,04-07-2024 20.16,Met,04-07-2024 23.07,Met,04-07-2024 23.10,5,Satisfied,Hardware,L3,Kuwait
Closed,859,Low,Chat,Software Bug,Network Ops,Saif Al-Rashid,07-08-2024 23.08,08-08-2024 3.08,08-08-2024 0.08,07-08-2024 23.59,Met,08-08-2024 2.54,Met,08-08-2024 2.56,3,Dissatisfied,Network,L1,Bahrain
Open,860,Critical,Portal,Software Bug,Network Ops,Fahad Al-Rashid,07-05-2024 0.42,07-05-2024 1.42,07-05-2024 0.52,07-05-2024 0.49,Met,07-05-2024 1.42,Met,07-05-2024 1.47,4,Neutral,Software,L2,UAE
In Progress,861,Low,Chat,General Inquiry,Customer Service,Abdullah Al-Mansoori,20-05-2024 2.05,20-05-2024 6.05,20-05-2024 3.05,20-05-2024 3.04,Met,20-05-2024 5.52,Met,20-05-2024 5.56,2,Dissatisfied,Cloud,L1,Saudi Arabia
In Progress,862,Low,Email,Software Bug,Development,Fahad Al-Farsi,09-06-2024 14.50,09-06-2024 18.50,09-06-2024 15.50,09-06-2024 15.46,Met,09-06-2024 18.30,Met,09-06-2024 18.30,3,Dissatisfied,Hardware,L2,Bahrain
New,863,Low,Chat,Network Issue,Network Ops,Yousef Al-Sabah,07-06-2024 5.48,07-06-2024 9.48,07-06-2024 6.48,07-06-2024 6.38,Met,07-06-2024 9.44,Met,07-06-2024 9.44,5,Neutral,Software,L3,Oman
Open,864,Medium,Chat,Software Bug,Development,Fahad Al-Rashid,05-04-2024 0.26,05-04-2024 3.26,05-04-2024 1.11,05-04-2024 1.08,Met,05-04-2024 3.26,Met,05-04-2024 3.30,1,Satisfied,Network,L3,Kuwait
Open,865,High,Email,Software Bug,Customer Service,Mohammed Al-Rashid,06-08-2024 6.26,06-08-2024 8.26,06-08-2024 6.56,06-08-2024 6.53,Met,06-08-2024 8.21,Met,06-08-2024 8.23,3,Dissatisfied,Hardware,L1,Kuwait
Closed,866,Medium,Chat,Network Issue,IT Support,Saif Al-Rashid,08-07-2024 0.15,08-07-2024 3.15,08-07-2024 1.00,08-07-2024 1.00,Met,08-07-2024 2.58,Met,08-07-2024 2.58,2,Dissatisfied,Cloud,L1,Bahrain
Closed,867,High,Chat,Hardware Failure,IT Support,Mohammed Al-Hamdan,02-06-2024 5.51,02-06-2024 7.51,02-06-2024 6.21,02-06-2024 6.20,Met,02-06-2024 7.39,Met,02-06-2024 7.40,2,Satisfied,Network,L2,UAE
New,868,High,Phone,Access Request,Development,Fahad Al-Rashid,15-07-2024 14.32,15-07-2024 16.32,15-07-2024 15.02,15-07-2024 14.55,Met,15-07-2024 16.17,Met,15-07-2024 16.22,2,Neutral,Cloud,L3,Oman
Resolved,869,Medium,Phone,Network Issue,Customer Service,Fahad Al-Farsi,28-06-2024 12.36,28-06-2024 15.36,28-06-2024 13.21,28-06-2024 13.11,Met,28-06-2024 15.24,Met,28-06-2024 15.28,5,Dissatisfied,Software,L1,Saudi Arabia
Open,870,High,Email,General Inquiry,IT Support,Omar Al-Mansoori,20-05-2024 20.27,20-05-2024 22.27,20-05-2024 20.57,20-05-2024 20.47,Met,20-05-2024 22.10,Met,20-05-2024 22.11,2,Dissatisfied,Cloud,L3,Qatar
New,871,Medium,Email,Network Issue,Security,Abdullah Al-Rashid,14-04-2024 0.41,14-04-2024 3.41,14-04-2024 1.26,14-04-2024 1.22,Met,14-04-2024 3.27,Met,14-04-2024 3.28,3,Dissatisfied,Network,L1,Saudi Arabia
New,872,High,Email,General Inquiry,Security,Fahad Al-Rashid,06-07-2024 13.43,06-07-2024 15.43,06-07-2024 14.13,06-07-2024 14.05,Met,06-07-2024 15.30,Met,06-07-2024 15.31,1,Neutral,Network,L1,Bahrain
New,873,Critical,Email,General Inquiry,Customer Service,Saif Al-Rashid,27-07-2024 4.20,27-07-2024 5.20,27-07-2024 4.30,27-07-2024 4.23,Met,27-07-2024 5.13,Met,27-07-2024 5.18,1,Neutral,Network,L3,Bahrain
Resolved,874,High,Email,General Inquiry,Network Ops,Saif Al-Khalifa,22-06-2024 3.34,22-06-2024 5.34,22-06-2024 4.04,22-06-2024 4.03,Met,22-06-2024 5.31,Met,22-06-2024 5.33,5,Satisfied,Network,L3,Kuwait
In Progress,875,High,Portal,Software Bug,Customer Service,Omar Al-Mansoori,22-07-2024 21.00,22-07-2024 23.00,22-07-2024 21.30,22-07-2024 21.27,Met,22-07-2024 22.41,Met,22-07-2024 22.46,2,Neutral,Network,L3,Oman
Open,876,Low,Phone,Access Request,Customer Service,Fahad Al-Rashid,16-05-2024 10.58,16-05-2024 14.58,16-05-2024 11.58,16-05-2024 11.50,Met,16-05-2024 14.46,Met,16-05-2024 14.46,5,Dissatisfied,Network,L1,Qatar
In Progress,877,High,Portal,Software Bug,IT Support,Omar Al-Mansoori,18-04-2024 7.16,18-04-2024 9.16,18-04-2024 7.46,18-04-2024 7.43,Met,18-04-2024 9.04,Met,18-04-2024 9.09,3,Satisfied,Software,L2,Saudi Arabia
Closed,878,Medium,Portal,Access Request,IT Support,Saif Al-Khalifa,06-06-2024 4.11,06-06-2024 7.11,06-06-2024 4.56,06-06-2024 4.50,Met,06-06-2024 7.11,Met,06-06-2024 7.15,2,Neutral,Software,L3,Qatar
In Progress,879,High,Portal,Network Issue,Development,Yousef Al-Khalifa,22-05-2024 2.56,22-05-2024 4.56,22-05-2024 3.26,22-05-2024 3.23,Met,22-05-2024 4.55,Met,22-05-2024 4.57,2,Satisfied,Hardware,L3,UAE
Resolved,880,Medium,Chat,Network Issue,Customer Service,Omar Al-Salem,25-07-2024 22.46,26-07-2024 1.46,25-07-2024 23.31,25-07-2024 23.26,Met,26-07-2024 1.31,Met,26-07-2024 1.36,5,Satisfied,Cloud,L1,UAE
In Progress,881,Medium,Portal,General Inquiry,Customer Service,Saif Al-Khalifa,20-06-2024 3.37,20-06-2024 6.37,20-06-2024 4.22,20-06-2024 4.22,Met,20-06-2024 6.35,Met,20-06-2024 6.40,1,Satisfied,Cloud,L1,Saudi Arabia
Closed,882,Low,Phone,Access Request,Security,Yousef Al-Sabah,28-07-2024 12.03,28-07-2024 16.03,28-07-2024 13.03,28-07-2024 12.55,Met,28-07-2024 15.58,Met,28-07-2024 16.00,2,Dissatisfied,Network,L3,Bahrain
Resolved,883,Critical,Phone,Access Request,Development,Mohammed Al-Hamdan,19-07-2024 8.25,19-07-2024 9.25,19-07-2024 8.35,19-07-2024 8.30,Met,19-07-2024 9.23,Met,19-07-2024 9.26,3,Neutral,Cloud,L3,Qatar
New,884,High,Portal,Hardware Failure,Development,Ahmed Al-Nasser,26-07-2024 16.57,26-07-2024 18.57,26-07-2024 17.27,26-07-2024 17.25,Met,26-07-2024 18.52,Met,26-07-2024 18.53,2,Neutral,Hardware,L2,Oman
Resolved,885,Low,Phone,Hardware Failure,IT Support,Hassan Al-Hamdan,13-06-2024 5.58,13-06-2024 9.58,13-06-2024 6.58,13-06-2024 6.54,Met,13-06-2024 9.58,Met,13-06-2024 9.59,5,Dissatisfied,Hardware,L2,Qatar
Closed,886,High,Email,Access Request,Customer Service,Mohammed Al-Hamdan,04-07-2024 17.09,04-07-2024 19.09,04-07-2024 17.39,04-07-2024 17.30,Met,04-07-2024 19.09,Met,04-07-2024 19.10,3,Satisfied,Hardware,L2,Oman
Closed,887,Critical,Chat,Network Issue,Customer Service,Ali Al-Khalifa,05-08-2024 10.29,05-08-2024 11.29,05-08-2024 10.39,05-08-2024 10.29,Met,05-08-2024 11.28,Met,05-08-2024 11.30,3,Dissatisfied,Cloud,L2,Bahrain
In Progress,888,Low,Chat,Hardware Failure,Network Ops,Abdullah Al-Farsi,26-05-2024 21.41,27-05-2024 1.41,26-05-2024 22.41,26-05-2024 22.39,Met,27-05-2024 1.38,Met,27-05-2024 1.41,5,Neutral,Network,L2,Saudi Arabia
Closed,889,Medium,Email,Software Bug,Development,Mohammed Al-Hamdan,22-06-2024 3.54,22-06-2024 6.54,22-06-2024 4.39,22-06-2024 4.39,Met,22-06-2024 6.54,Met,22-06-2024 6.58,5,Dissatisfied,Software,L2,Qatar
Closed,890,Critical,Chat,Software Bug,Development,Saif Al-Rashid,19-07-2024 20.08,19-07-2024 21.08,19-07-2024 20.18,19-07-2024 20.14,Met,19-07-2024 21.03,Met,19-07-2024 21.07,2,Neutral,Hardware,L2,Oman
Closed,891,Low,Portal,General Inquiry,Customer Service,Khalid Al-Farsi,12-05-2024 21.42,13-05-2024 1.42,12-05-2024 22.42,12-05-2024 22.39,Met,13-05-2024 1.37,Met,13-05-2024 1.37,2,Satisfied,Network,L2,Bahrain
New,892,High,Portal,Network Issue,IT Support,Khalid Al-Rashid,02-07-2024 3.23,02-07-2024 5.23,02-07-2024 3.53,02-07-2024 3.52,Met,02-07-2024 5.16,Met,02-07-2024 5.19,3,Satisfied,Network,L2,Kuwait
Resolved,893,Medium,Chat,Access Request,IT Support,Omar Al-Mansoori,16-04-2024 2.25,16-04-2024 5.25,16-04-2024 3.10,16-04-2024 3.04,Met,16-04-2024 5.20,Met,16-04-2024 5.23,2,Neutral,Software,L3,UAE
Closed,894,Medium,Phone,General Inquiry,Development,Mohammed Al-Hamdan,16-06-2024 3.22,16-06-2024 6.22,16-06-2024 4.07,16-06-2024 4.04,Met,16-06-2024 6.20,Met,16-06-2024 6.20,3,Neutral,Hardware,L2,Bahrain
Resolved,895,Low,Phone,Access Request,Development,Abdullah Al-Rashid,02-07-2024 7.44,02-07-2024 11.44,02-07-2024 8.44,02-07-2024 8.37,Met,02-07-2024 11.34,Met,02-07-2024 11.34,5,Neutral,Network,L1,Kuwait
Resolved,896,Low,Chat,Hardware Failure,Security,Yousef Al-Khalifa,09-04-2024 6.10,09-04-2024 10.10,09-04-2024 7.10,09-04-2024 7.04,Met,09-04-2024 9.58,Met,09-04-2024 10.00,4,Dissatisfied,Network,L3,Kuwait
In Progress,897,High,Portal,Hardware Failure,Security,Ahmed Al-Nasser,03-06-2024 12.39,03-06-2024 14.39,03-06-2024 13.09,03-06-2024 13.09,Met,03-06-2024 14.27,Met,03-06-2024 14.32,4,Dissatisfied,Software,L1,Saudi Arabia
Closed,898,Medium,Portal,Access Request,Security,Ahmed Al-Nasser,21-07-2024 9.47,21-07-2024 12.47,21-07-2024 10.32,21-07-2024 10.25,Met,21-07-2024 12.47,Met,21-07-2024 12.51,1,Satisfied,Cloud,L1,Oman
Resolved,899,Low,Portal,General Inquiry,IT Support,Abdullah Al-Rashid,21-04-2024 8.20,21-04-2024 12.20,21-04-2024 9.20,21-04-2024 9.17,Met,21-04-2024 12.04,Met,21-04-2024 12.04,5,Dissatisfied,Hardware,L3,UAE
New,900,Medium,Phone,Access Request,IT Support,Fahad Al-Rashid,01-08-2024 18.05,01-08-2024 21.05,01-08-2024 18.50,01-08-2024 18.50,Met,01-08-2024 20.57,Met,01-08-2024 20.57,3,Satisfied,Hardware,L2,Saudi Arabia
Closed,901,High,Chat,Hardware Failure,IT Support,Khalid Al-Rashid,22-04-2024 0.50,22-04-2024 2.50,22-04-2024 1.20,22-04-2024 1.12,Met,22-04-2024 2.39,Met,22-04-2024 2.40,4,Satisfied,Hardware,L3,Qatar
In Progress,902,High,Email,Access Request,IT Support,Khalid Al-Farsi,26-05-2024 7.59,26-05-2024 9.59,26-05-2024 8.29,26-05-2024 8.20,Met,26-05-2024 9.41,Met,26-05-2024 9.41,3,Neutral,Network,L1,Oman
Closed,903,High,Chat,Access Request,Network Ops,Abdullah Al-Rashid,31-05-2024 19.02,31-05-2024 21.02,31-05-2024 19.32,31-05-2024 19.30,Met,31-05-2024 20.56,Met,31-05-2024 21.01,4,Neutral,Software,L3,Kuwait
Closed,904,High,Portal,General Inquiry,Network Ops,Mohammed Al-Rashid,17-07-2024 12.29,17-07-2024 14.29,17-07-2024 12.59,17-07-2024 12.55,Met,17-07-2024 14.24,Met,17-07-2024 14.24,5,Dissatisfied,Hardware,L3,Oman
Open,905,High,Phone,Access Request,Network Ops,Omar Al-Mansoori,15-07-2024 17.49,15-07-2024 19.49,15-07-2024 18.19,15-07-2024 18.16,Met,15-07-2024 19.29,Met,15-07-2024 19.29,2,Neutral,Software,L3,Qatar
Closed,906,Critical,Portal,General Inquiry,Customer Service,Yousef Al-Khalifa,26-05-2024 23.48,27-05-2024 0.48,26-05-2024 23.58,26-05-2024 23.54,Met,27-05-2024 0.34,Met,27-05-2024 0.38,2,Satisfied,Network,L3,Kuwait
New,907,Critical,Email,General Inquiry,Customer Service,Ali Al-Khalifa,23-04-2024 3.52,23-04-2024 4.52,23-04-2024 4.02,23-04-2024 3.59,Met,23-04-2024 4.51,Met,23-04-2024 4.52,4,Satisfied,Software,L1,Saudi Arabia
Resolved,908,High,Chat,Network Issue,Security,Ahmed Al-Nasser,03-08-2024 14.04,03-08-2024 16.04,03-08-2024 14.34,03-08-2024 14.33,Met,03-08-2024 15.46,Met,03-08-2024 15.47,5,Satisfied,Network,L3,Bahrain
Open,909,Critical,Portal,Access Request,Development,Yousef Al-Sabah,21-05-2024 15.21,21-05-2024 16.21,21-05-2024 15.31,21-05-2024 15.21,Met,21-05-2024 16.21,Met,21-05-2024 16.24,2,Dissatisfied,Cloud,L3,UAE
New,910,Medium,Phone,Network Issue,Security,Ali Al-Khalifa,06-07-2024 3.20,06-07-2024 6.20,06-07-2024 4.05,06-07-2024 3.55,Met,06-07-2024 6.05,Met,06-07-2024 6.05,1,Satisfied,Cloud,L3,Qatar
Open,911,Critical,Phone,Hardware Failure,Development,Saif Al-Khalifa,06-07-2024 14.10,06-07-2024 15.10,06-07-2024 14.20,06-07-2024 14.16,Met,06-07-2024 14.56,Met,06-07-2024 15.01,3,Dissatisfied,Network,L1,Saudi Arabia
Open,912,High,Email,General Inquiry,Customer Service,Abdullah Al-Mansoori,29-04-2024 21.11,29-04-2024 23.11,29-04-2024 21.41,29-04-2024 21.39,Met,29-04-2024 22.53,Met,29-04-2024 22.56,4,Neutral,Network,L3,Qatar
In Progress,913,Medium,Email,Hardware Failure,Development,Omar Al-Salem,17-06-2024 16.00,17-06-2024 19.00,17-06-2024 16.45,17-06-2024 16.38,Met,17-06-2024 18.48,Met,17-06-2024 18.49,3,Satisfied,Cloud,L1,Oman
Closed,914,High,Email,Access Request,IT Support,Fahad Al-Farsi,25-04-2024 6.36,25-04-2024 8.36,25-04-2024 7.06,25-04-2024 7.03,Met,25-04-2024 8.36,Met,25-04-2024 8.39,4,Neutral,Network,L3,Saudi Arabia
In Progress,915,Medium,Chat,General Inquiry,Development,Mohammed Al-Hamdan,11-08-2024 5.48,11-08-2024 8.48,11-08-2024 6.33,11-08-2024 6.23,Met,11-08-2024 8.37,Met,11-08-2024 8.41,5,Satisfied,Cloud,L1,Qatar
In Progress,916,Low,Phone,Network Issue,Security,Yousef Al-Khalifa,09-04-2024 9.30,09-04-2024 13.30,09-04-2024 10.30,09-04-2024 10.30,Met,09-04-2024 13.11,Met,09-04-2024 13.12,1,Neutral,Hardware,L1,Oman
Open,917,High,Portal,Hardware Failure,Security,Hassan Al-Rashid,04-07-2024 13.30,04-07-2024 15.30,04-07-2024 14.00,04-07-2024 14.00,Met,04-07-2024 15.22,Met,04-07-2024 15.25,2,Neutral,Network,L3,Oman
Closed,918,Medium,Phone,Software Bug,Security,Yousef Al-Khalifa,14-07-2024 9.36,14-07-2024 12.36,14-07-2024 10.21,14-07-2024 10.15,Met,14-07-2024 12.30,Met,14-07-2024 12.32,1,Dissatisfied,Network,L3,Bahrain
Open,919,Critical,Phone,General Inquiry,Security,Abdullah Al-Rashid,17-07-2024 12.28,17-07-2024 13.28,17-07-2024 12.38,17-07-2024 12.29,Met,17-07-2024 13.24,Met,17-07-2024 13.26,2,Neutral,Software,L3,Kuwait
Closed,920,High,Chat,Network Issue,Network Ops,Hassan Al-Hamdan,29-05-2024 11.34,29-05-2024 13.34,29-05-2024 12.04,29-05-2024 12.02,Met,29-05-2024 13.34,Met,29-05-2024 13.39,2,Neutral,Network,L2,Saudi Arabia
New,921,Medium,Phone,Network Issue,Network Ops,Hassan Al-Rashid,26-06-2024 13.40,26-06-2024 16.40,26-06-2024 14.25,26-06-2024 14.17,Met,26-06-2024 16.24,Met,26-06-2024 16.24,2,Satisfied,Software,L3,Qatar
Closed,922,High,Chat,General Inquiry,Development,Fahad Al-Farsi,05-05-2024 12.42,05-05-2024 14.42,05-05-2024 13.12,05-05-2024 13.03,Met,05-05-2024 14.28,Met,05-05-2024 14.28,5,Neutral,Cloud,L2,Saudi Arabia
New,923,High,Chat,Hardware Failure,Customer Service,Mohammed Al-Rashid,01-08-2024 10.13,01-08-2024 12.13,01-08-2024 10.43,01-08-2024 10.33,Met,01-08-2024 12.05,Met,01-08-2024 12.05,3,Dissatisfied,Network,L1,Bahrain
In Progress,924,Critical,Phone,Software Bug,Development,Ahmed Al-Nasser,10-05-2024 17.35,10-05-2024 18.35,10-05-2024 17.45,10-05-2024 17.35,Met,10-05-2024 18.26,Met,10-05-2024 18.27,1,Satisfied,Software,L3,Bahrain
